OBJECTID_12,OBJECTID,latitude,longitude,property_type,room_type,accommodates,price,FID_1,OBJECTID_1,FID_1_1,OBJECTID_2,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,AREA_SQFT,AREA_ACRES,POP100_RE,HU100_RE,LOGPL94171,LOGSF1,LOGACS0610,LOGSF1C,SHAPE_Leng,Count_,Sum_Field1,Sum_Lat,Sum_Long,Sum_Aggrav,Sum_Aircra,Sum_Arson,Sum_Assemb,Sum_Auto_T,Sum_Auto_1,Sum_Ballis,Sum_Bomb_H,Sum_Commer,Sum_Crimin,Sum_Disord,Sum_Drug_V,Sum_Explos,Sum_Firear,Sum_HOME_I,Sum_Harass,Sum_Homici,Sum_Mansla,Sum_Offens,Sum_Reside,Sum_Robber,Sum_Search,Sum_Simple,Sum_Vandal,Sum_Warran,Shape_Le_1
4023,2977,42.340159999999997,-71.152919999999995,Apartment,Private room,2,45,165,166,168,849,25,025,000502,25025000502,5.02,Census Tract 5.02,G5020,863889.000000000000000,334529.000000000000000,+42.3315048,-071.1574973,12898832.449999999254942,296.116399999999999,6303,2041,0174864,147854,0003849,0147854,5645.450450289999935,32,365157,1354.815232259999902,-2276.877390369999830,1,0,0,1,2,0,0,0,0,0,2,2,0,0,0,3,0,0,0,3,3,0,10,5,0,5645.450450229999660
4024,3209,42.335569999999997,-71.149559999999994,Condominium,Entire home/apt,4,109,165,166,168,849,25,025,000502,25025000502,5.02,Census Tract 5.02,G5020,863889.000000000000000,334529.000000000000000,+42.3315048,-071.1574973,12898832.449999999254942,296.116399999999999,6303,2041,0174864,147854,0003849,0147854,5645.450450289999935,32,365157,1354.815232259999902,-2276.877390369999830,1,0,0,1,2,0,0,0,0,0,2,2,0,0,0,3,0,0,0,3,3,0,10,5,0,5645.450450229999660
4025,3452,42.336500000000001,-71.148929999999993,Apartment,Entire home/apt,2,140,165,166,168,849,25,025,000502,25025000502,5.02,Census Tract 5.02,G5020,863889.000000000000000,334529.000000000000000,+42.3315048,-071.1574973,12898832.449999999254942,296.116399999999999,6303,2041,0174864,147854,0003849,0147854,5645.450450289999935,32,365157,1354.815232259999902,-2276.877390369999830,1,0,0,1,2,0,0,0,0,0,2,2,0,0,0,3,0,0,0,3,3,0,10,5,0,5645.450450229999660
4026,3646,42.336739999999999,-71.150180000000006,House,Private room,2,45,165,166,168,849,25,025,000502,25025000502,5.02,Census Tract 5.02,G5020,863889.000000000000000,334529.000000000000000,+42.3315048,-071.1574973,12898832.449999999254942,296.116399999999999,6303,2041,0174864,147854,0003849,0147854,5645.450450289999935,32,365157,1354.815232259999902,-2276.877390369999830,1,0,0,1,2,0,0,0,0,0,2,2,0,0,0,3,0,0,0,3,3,0,10,5,0,5645.450450229999660
4027,3647,42.336590000000001,-71.148870000000002,House,Private room,3,45,165,166,168,849,25,025,000502,25025000502,5.02,Census Tract 5.02,G5020,863889.000000000000000,334529.000000000000000,+42.3315048,-071.1574973,12898832.449999999254942,296.116399999999999,6303,2041,0174864,147854,0003849,0147854,5645.450450289999935,32,365157,1354.815232259999902,-2276.877390369999830,1,0,0,1,2,0,0,0,0,0,2,2,0,0,0,3,0,0,0,3,3,0,10,5,0,5645.450450229999660
4028,3649,42.337060000000001,-71.148690000000002,House,Private room,2,45,165,166,168,849,25,025,000502,25025000502,5.02,Census Tract 5.02,G5020,863889.000000000000000,334529.000000000000000,+42.3315048,-071.1574973,12898832.449999999254942,296.116399999999999,6303,2041,0174864,147854,0003849,0147854,5645.450450289999935,32,365157,1354.815232259999902,-2276.877390369999830,1,0,0,1,2,0,0,0,0,0,2,2,0,0,0,3,0,0,0,3,3,0,10,5,0,5645.450450229999660
4029,4261,42.336939999999998,-71.151740000000004,Apartment,Private room,2,100,165,166,168,849,25,025,000502,25025000502,5.02,Census Tract 5.02,G5020,863889.000000000000000,334529.000000000000000,+42.3315048,-071.1574973,12898832.449999999254942,296.116399999999999,6303,2041,0174864,147854,0003849,0147854,5645.450450289999935,32,365157,1354.815232259999902,-2276.877390369999830,1,0,0,1,2,0,0,0,0,0,2,2,0,0,0,3,0,0,0,3,3,0,10,5,0,5645.450450229999660
4030,4279,42.335740000000001,-71.151560000000003,Apartment,Private room,1,40,165,166,168,849,25,025,000502,25025000502,5.02,Census Tract 5.02,G5020,863889.000000000000000,334529.000000000000000,+42.3315048,-071.1574973,12898832.449999999254942,296.116399999999999,6303,2041,0174864,147854,0003849,0147854,5645.450450289999935,32,365157,1354.815232259999902,-2276.877390369999830,1,0,0,1,2,0,0,0,0,0,2,2,0,0,0,3,0,0,0,3,3,0,10,5,0,5645.450450229999660
4031,4343,42.339120000000001,-71.159430000000000,Apartment,Entire home/apt,7,260,165,166,168,849,25,025,000502,25025000502,5.02,Census Tract 5.02,G5020,863889.000000000000000,334529.000000000000000,+42.3315048,-071.1574973,12898832.449999999254942,296.116399999999999,6303,2041,0174864,147854,0003849,0147854,5645.450450289999935,32,365157,1354.815232259999902,-2276.877390369999830,1,0,0,1,2,0,0,0,0,0,2,2,0,0,0,3,0,0,0,3,3,0,10,5,0,5645.450450229999660
4032,166,42.348399999999998,-71.156959999999998,Guest suite,Entire home/apt,4,140,166,167,169,850,25,025,000402,25025000402,4.02,Census Tract 4.02,G5020,806765.000000000000000,0.000000000000000,+42.3441742,-071.1588288,8683342.130000000819564,199.342099999999988,3648,1543,0174860,147850,0003848,0147850,3642.833242119999795,58,721479,2455.985988609999822,-4127.147798089999924,3,0,0,2,2,0,2,0,0,0,4,6,0,1,0,3,0,0,2,14,0,0,5,13,1,3642.833242119999795
4033,216,42.341259999999998,-71.157169999999994,House,Private room,2,70,166,167,169,850,25,025,000402,25025000402,4.02,Census Tract 4.02,G5020,806765.000000000000000,0.000000000000000,+42.3441742,-071.1588288,8683342.130000000819564,199.342099999999988,3648,1543,0174860,147850,0003848,0147850,3642.833242119999795,58,721479,2455.985988609999822,-4127.147798089999924,3,0,0,2,2,0,2,0,0,0,4,6,0,1,0,3,0,0,2,14,0,0,5,13,1,3642.833242119999795
4034,242,42.343800000000002,-71.156300000000002,Apartment,Entire home/apt,2,52,166,167,169,850,25,025,000402,25025000402,4.02,Census Tract 4.02,G5020,806765.000000000000000,0.000000000000000,+42.3441742,-071.1588288,8683342.130000000819564,199.342099999999988,3648,1543,0174860,147850,0003848,0147850,3642.833242119999795,58,721479,2455.985988609999822,-4127.147798089999924,3,0,0,2,2,0,2,0,0,0,4,6,0,1,0,3,0,0,2,14,0,0,5,13,1,3642.833242119999795
4035,280,42.348579999999998,-71.158720000000002,House,Private room,3,115,166,167,169,850,25,025,000402,25025000402,4.02,Census Tract 4.02,G5020,806765.000000000000000,0.000000000000000,+42.3441742,-071.1588288,8683342.130000000819564,199.342099999999988,3648,1543,0174860,147850,0003848,0147850,3642.833242119999795,58,721479,2455.985988609999822,-4127.147798089999924,3,0,0,2,2,0,2,0,0,0,4,6,0,1,0,3,0,0,2,14,0,0,5,13,1,3642.833242119999795
4036,427,42.344250000000002,-71.155919999999995,Apartment,Entire home/apt,1,49,166,167,169,850,25,025,000402,25025000402,4.02,Census Tract 4.02,G5020,806765.000000000000000,0.000000000000000,+42.3441742,-071.1588288,8683342.130000000819564,199.342099999999988,3648,1543,0174860,147850,0003848,0147850,3642.833242119999795,58,721479,2455.985988609999822,-4127.147798089999924,3,0,0,2,2,0,2,0,0,0,4,6,0,1,0,3,0,0,2,14,0,0,5,13,1,3642.833242119999795
4037,433,42.347709999999999,-71.155400000000000,House,Entire home/apt,12,450,166,167,169,850,25,025,000402,25025000402,4.02,Census Tract 4.02,G5020,806765.000000000000000,0.000000000000000,+42.3441742,-071.1588288,8683342.130000000819564,199.342099999999988,3648,1543,0174860,147850,0003848,0147850,3642.833242119999795,58,721479,2455.985988609999822,-4127.147798089999924,3,0,0,2,2,0,2,0,0,0,4,6,0,1,0,3,0,0,2,14,0,0,5,13,1,3642.833242119999795
4038,473,42.347960000000000,-71.155199999999994,Apartment,Private room,2,145,166,167,169,850,25,025,000402,25025000402,4.02,Census Tract 4.02,G5020,806765.000000000000000,0.000000000000000,+42.3441742,-071.1588288,8683342.130000000819564,199.342099999999988,3648,1543,0174860,147850,0003848,0147850,3642.833242119999795,58,721479,2455.985988609999822,-4127.147798089999924,3,0,0,2,2,0,2,0,0,0,4,6,0,1,0,3,0,0,2,14,0,0,5,13,1,3642.833242119999795
