,price,Sum_Aggrav,Sum_Aircra,Sum_Arson,Sum_Assemb,Sum_Auto_T,Sum_Auto_1,Sum_Ballis,Sum_Bomb_H,Sum_Commer,Sum_Crimin,Sum_Disord,Sum_Drug_V,Sum_Explos,Sum_Firear,Sum_HOME_I,Sum_Harass,Sum_Homici,Sum_Mansla,Sum_Offens,Sum_Reside,Sum_Robber,Sum_Search,Sum_Simple,Sum_Vandal,Sum_Warran
122,85.0,119.0,0.0,0.0,14.0,84.0,7.0,49.0,0.0,7.0,0.0,7.0,98.0,0.0,21.0,0.0,70.0,28.0,0.0,7.0,42.0,28.0,0.0,196.0,224.0,35.0
123,50.0,525.0,0.0,0.0,25.0,250.0,50.0,100.0,0.0,0.0,0.0,75.0,475.0,0.0,100.0,0.0,425.0,0.0,0.0,25.0,225.0,225.0,25.0,1275.0,1600.0,200.0
124,61.0,1056.0,0.0,0.0,0.0,506.0,66.0,198.0,0.0,44.0,22.0,286.0,572.0,0.0,198.0,0.0,352.0,66.0,0.0,0.0,440.0,902.0,44.0,2288.0,2090.0,308.0
125,113.0,52.0,0.0,0.0,0.0,65.0,26.0,39.0,0.0,0.0,0.0,13.0,52.0,0.0,0.0,0.0,39.0,0.0,0.0,13.0,130.0,52.0,0.0,195.0,364.0,39.0
126,112.5,12.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,14.0,0.0,0.0,24.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,8.0,4.0,0.0,12.0,24.0,10.0
127,64.0,10.0,0.0,0.0,0.0,10.0,15.0,0.0,0.0,10.0,0.0,5.0,80.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,10.0,5.0,0.0,60.0,100.0,50.0
128,59.5,70.0,0.0,0.0,0.0,130.0,10.0,10.0,0.0,0.0,0.0,10.0,130.0,0.0,20.0,10.0,70.0,0.0,0.0,0.0,50.0,60.0,0.0,190.0,190.0,70.0
129,70.0,264.0,0.0,0.0,22.0,176.0,0.0,22.0,22.0,44.0,0.0,44.0,154.0,0.0,44.0,0.0,88.0,22.0,0.0,66.0,308.0,110.0,0.0,638.0,638.0,154.0
130,65.0,182.0,0.0,0.0,0.0,91.0,56.0,14.0,0.0,7.0,0.0,14.0,217.0,0.0,56.0,0.0,119.0,28.0,0.0,0.0,91.0,154.0,28.0,357.0,336.0,105.0
131,80.0,198.0,0.0,0.0,0.0,30.0,24.0,24.0,0.0,36.0,0.0,0.0,180.0,0.0,48.0,0.0,114.0,0.0,0.0,0.0,96.0,30.0,18.0,240.0,198.0,72.0
132,105.5,28.0,0.0,0.0,0.0,24.0,4.0,0.0,0.0,2.0,0.0,2.0,22.0,0.0,8.0,0.0,18.0,8.0,0.0,2.0,8.0,12.0,10.0,56.0,60.0,8.0
133,52.0,190.0,0.0,0.0,0.0,65.0,30.0,40.0,5.0,20.0,0.0,15.0,80.0,0.0,35.0,0.0,110.0,10.0,0.0,10.0,65.0,120.0,20.0,430.0,375.0,85.0
134,88.0,272.0,0.0,0.0,34.0,272.0,0.0,34.0,0.0,0.0,0.0,0.0,1224.0,0.0,34.0,0.0,374.0,0.0,0.0,0.0,170.0,170.0,136.0,884.0,952.0,272.0
135,56.0,36.0,0.0,0.0,0.0,30.0,0.0,0.0,6.0,0.0,0.0,18.0,48.0,0.0,12.0,6.0,48.0,0.0,0.0,0.0,6.0,18.0,0.0,72.0,60.0,30.0
136,187.0,42.0,0.0,0.0,0.0,36.0,6.0,12.0,0.0,6.0,0.0,18.0,48.0,0.0,6.0,0.0,6.0,0.0,0.0,6.0,42.0,6.0,0.0,102.0,42.0,18.0
137,52.5,32.0,0.0,4.0,4.0,32.0,0.0,4.0,0.0,0.0,0.0,8.0,40.0,0.0,4.0,0.0,20.0,0.0,0.0,0.0,8.0,20.0,4.0,88.0,84.0,8.0
138,75.0,36.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,18.0,18.0,216.0,0.0,0.0,18.0,108.0,18.0,36.0,198.0,144.0,54.0
139,70.0,33.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,22.0,11.0,0.0,44.0,22.0,22.0
140,67.0,210.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,105.0,0.0,42.0,315.0,0.0,0.0,0.0,147.0,0.0,0.0,0.0,63.0,105.0,63.0,378.0,441.0,63.0
141,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
142,82.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,108.0,0.0,0.0,0.0,234.0,0.0,0.0,0.0,54.0,0.0,0.0,144.0,54.0,18.0
143,180.0,92.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,23.0,46.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,46.0,0.0,0.0,46.0,92.0,46.0
144,120.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,20.0,0.0,60.0,120.0,40.0
145,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,11.0,33.0,22.0,11.0
146,145.0,329.0,0.0,0.0,47.0,282.0,47.0,0.0,0.0,94.0,0.0,47.0,705.0,0.0,94.0,0.0,329.0,47.0,0.0,47.0,517.0,141.0,0.0,1081.0,752.0,282.0
147,86.0,832.0,0.0,0.0,64.0,896.0,0.0,192.0,0.0,192.0,0.0,128.0,7616.0,0.0,128.0,64.0,448.0,0.0,0.0,0.0,1024.0,448.0,256.0,1664.0,1728.0,960.0
148,145.0,177.0,0.0,0.0,0.0,295.0,295.0,0.0,59.0,0.0,59.0,118.0,531.0,0.0,0.0,0.0,413.0,0.0,0.0,0.0,1003.0,0.0,0.0,1416.0,885.0,472.0
149,90.0,190.0,0.0,0.0,19.0,57.0,0.0,0.0,0.0,38.0,0.0,38.0,418.0,0.0,76.0,0.0,76.0,57.0,0.0,0.0,209.0,95.0,19.0,342.0,152.0,285.0
150,145.0,93.0,0.0,0.0,0.0,155.0,31.0,0.0,0.0,31.0,0.0,0.0,155.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,155.0,31.0,0.0,124.0,248.0,248.0
151,95.0,24.0,0.0,0.0,0.0,72.0,24.0,12.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,84.0,36.0,0.0,48.0,48.0,24.0
152,90.0,36.0,0.0,0.0,9.0,9.0,0.0,9.0,0.0,18.0,0.0,27.0,36.0,0.0,18.0,0.0,63.0,0.0,0.0,0.0,18.0,27.0,0.0,171.0,63.0,18.0
