,CT,AV_BLDG,Sum_Aggrav,Sum_Aircra,Sum_Arson,Sum_Assemb,Sum_Auto_T,Sum_Auto_1,Sum_Ballis,Sum_Bomb_H,Sum_Commer,Sum_Crimin,Sum_Disord,Sum_Drug_V,Sum_Explos,Sum_Firear,Sum_HOME_I,Sum_Harass,Sum_Homici,Sum_Mansla,Sum_Offens,Sum_Reside,Sum_Robber,Sum_Search,Sum_Simple,Sum_Vandal,Sum_Warran
161,25025140300,213550.0,31872,0,0,2656,18592,9296,6640,0,3984,0,7968,69056,0,1328,1328,29216,2656,0,1328,3984,9296,11952,62416,67728,17264
162,25025140400,169900.0,32112,0,0,2007,16056,4014,6021,0,0,0,10035,62217,0,8028,0,48168,4014,0,0,18063,10035,2007,72252,78273,26091
163,25025980700,364600.0,18,0,0,0,18,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,72,36,0
164,25025981000,424600.0,9,0,0,0,0,0,0,0,0,0,3,6,0,3,0,0,0,0,0,0,0,0,30,6,12
165,25025981100,338700.0,0,0,0,26,0,0,0,0,0,0,26,130,0,0,0,0,0,0,0,26,26,0,104,130,26
166,25025981202,2759600.0,0,0,0,0,68,0,0,0,0,0,0,34,0,0,0,0,0,0,0,17,0,0,34,136,17
167,25025981300,363850.0,0,3220,0,0,460,0,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,920,0
168,25025981502,6671600.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,4,2
169,25025981600,393700.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,25025981700,2800400.0,4,0,0,16,2,0,0,0,3,0,7,15,0,2,0,1,0,0,0,1,7,0,24,6,5
171,25025981800,4446000.0,9,0,0,0,3,0,0,0,0,0,0,6,0,0,0,3,0,0,0,6,15,0,27,6,18
